,coin,v,price
0,AAVEUSDT,15.381,98.53
1,AAVEUSDT,33.05,98.57
2,AAVEUSDT,98.672,98.59
3,AAVEUSDT,122.757,98.69
4,AAVEUSDT,0.383,98.79
5,AAVEUSDT,30.81,98.99
6,AAVEUSDT,0.162,99.19
7,AAVEUSDT,0.076,99.39
0,RUNEUSDT,922.2,5.365
1,RUNEUSDT,1760.1,5.366
0,NEARUSDT,2337.0,3.72
1,NEARUSDT,5092.1,3.727
2,NEARUSDT,4199.3,3.73
3,NEARUSDT,6305.3,3.731
4,NEARUSDT,2954.7,3.732
0,KSMUSDT,77.625,46.82
1,KSMUSDT,55.367,46.85
0,EGLDUSDT,89.79,57.19
1,EGLDUSDT,134.99,57.21
2,EGLDUSDT,76.3,57.22
3,EGLDUSDT,98.25,57.32
0,DOTUSDT,2959.06,7.726
1,DOTUSDT,308.58,7.747
0,TRBUSDT,0.0,115.9
1,TRBUSDT,25.01,116.1
2,TRBUSDT,0.0,116.11
3,TRBUSDT,1.78,116.13
4,TRBUSDT,0.0,116.33
5,TRBUSDT,32.4,116.34
6,TRBUSDT,48.1,116.43
7,TRBUSDT,0.0,116.45
8,TRBUSDT,53.65,116.48
9,TRBUSDT,0.05,116.49
10,TRBUSDT,1.11,116.86
11,TRBUSDT,55.05,116.87
12,TRBUSDT,0.43,117.27
0,SUSHIUSDT,3270.4,1.589
1,SUSHIUSDT,13963.7,1.591
2,SUSHIUSDT,27200.3,1.592
3,SUSHIUSDT,11970.3,1.594
0,OXTUSDT,67381.0,0.1217
0,NMRUSDT,11.63,32.44
1,NMRUSDT,0.24,32.45
2,NMRUSDT,192.44,32.46
3,NMRUSDT,110.86,32.47
4,NMRUSDT,264.79,32.48
5,NMRUSDT,238.26,32.49
0,NTRNUSDT,0.0,1.6603
1,NTRNUSDT,56.3,1.6604
2,NTRNUSDT,10.8,1.6605
3,NTRNUSDT,0.0,1.6622
4,NTRNUSDT,136.9,1.6623
5,NTRNUSDT,464.8,1.6628
6,NTRNUSDT,0.0,1.6631
7,NTRNUSDT,3142.5,1.6638
8,NTRNUSDT,822.9,1.666
9,NTRNUSDT,6256.8,1.6661
10,NTRNUSDT,185.2,1.667
11,NTRNUSDT,0.0,1.679
0,YFIUSDT,0.08489,8255.0
0,AVAXUSDT,777.26,36.74
1,AVAXUSDT,2773.93,36.75
2,AVAXUSDT,278.87,36.76
3,AVAXUSDT,2261.46,36.77
4,AVAXUSDT,246.32,36.8
0,ALPHAUSDT,0.0,0.1403
1,ALPHAUSDT,21741.0,0.1404
2,ALPHAUSDT,76877.0,0.1405
3,ALPHAUSDT,38046.0,0.1406
4,ALPHAUSDT,46150.0,0.1407
5,ALPHAUSDT,23609.0,0.1408
6,ALPHAUSDT,12573.0,0.1409
7,ALPHAUSDT,5489.0,0.141
0,TIAUSDT,35.4,16.9657
0,RSRUSDT,1665234.1,0.003137
1,RSRUSDT,10824.3,0.003138
0,FILUSDT,0.0,8.522
1,FILUSDT,190.33,8.523
2,FILUSDT,321.63,8.524
3,FILUSDT,210.68,8.525
4,FILUSDT,1072.71,8.528
5,FILUSDT,2501.81,8.529
6,FILUSDT,10780.64,8.53
7,FILUSDT,80.46,8.534
8,FILUSDT,124.61,8.535
9,FILUSDT,659.48,8.539
10,FILUSDT,831.54,8.54
11,FILUSDT,1191.29,8.547
12,FILUSDT,3762.26,8.548
13,FILUSDT,825.88,8.549
14,FILUSDT,8752.71,8.551
15,FILUSDT,36.23,8.553
16,FILUSDT,2845.95,8.555
17,FILUSDT,591.83,8.556
18,FILUSDT,666.98,8.557
19,FILUSDT,0.0,8.581
20,FILUSDT,42.46,8.585
21,FILUSDT,16060.38,8.6
22,FILUSDT,142.57,8.632
23,FILUSDT,61.04,8.636
