,coin,v,price
0,FXSUSDT,1.8,8.428
1,FXSUSDT,12.2,8.427
2,FXSUSDT,34.9,8.426
3,FXSUSDT,1.0,8.421
4,FXSUSDT,117.9,8.42
5,FXSUSDT,213.3,8.419
6,FXSUSDT,1.0,8.418
7,FXSUSDT,277.9,8.415
8,FXSUSDT,730.7,8.414
9,FXSUSDT,338.5,8.412
10,FXSUSDT,250.9,8.408
11,FXSUSDT,6.0,3.035
0,STEEMUSDT,4693.2,0.245
1,STEEMUSDT,0.0,0.2277
0,RNDRUSDT,101.38,7.506
1,RNDRUSDT,355.21,7.505
2,RNDRUSDT,1632.76,7.504
3,RNDRUSDT,3112.34,7.502
4,RNDRUSDT,1076.6,7.501
5,RNDRUSDT,42136.28,7.5
6,RNDRUSDT,567.79,7.499
7,RNDRUSDT,217.87,7.497
8,RNDRUSDT,489.75,7.496
9,RNDRUSDT,1977.47,7.495
10,RNDRUSDT,4512.97,7.494
11,RNDRUSDT,1159.68,7.492
12,RNDRUSDT,3085.5,7.489
13,RNDRUSDT,14.69,7.486
14,RNDRUSDT,1410.61,7.481
15,RNDRUSDT,777.69,7.471
0,AMPUSDT,211656.0,0.004916
1,AMPUSDT,2729799.0,0.004915
2,AMPUSDT,0.0,0.004903
0,GALUSDT,2668.133,3.066
1,GALUSDT,847.012,3.064
2,GALUSDT,720.972,3.05
3,GALUSDT,46.267,3.048
4,GALUSDT,3296.437,3.047
5,GALUSDT,140.363,3.044
0,NEXOUSDT,1651.95,1.165
1,NEXOUSDT,1548.27,1.164
2,NEXOUSDT,2179.65,1.163
3,NEXOUSDT,3618.18,1.162
4,NEXOUSDT,5026.71,1.161
5,NEXOUSDT,1282.51,1.16
6,NEXOUSDT,364.42,1.158
0,ACHUSDT,12501.0,0.02736
1,ACHUSDT,14981.0,0.02735
2,ACHUSDT,14916.0,0.02734
3,ACHUSDT,109043.0,0.02733
4,ACHUSDT,157020.0,0.02732
5,ACHUSDT,58090.0,0.02731
6,ACHUSDT,3559.0,0.0273
7,ACHUSDT,218280.0,0.02705
8,ACHUSDT,15145.0,0.02702
0,PLAUSDT,1645.71,0.2123
0,ASTRUSDT,18833.3,0.1594
1,ASTRUSDT,70520.3,0.1593
2,ASTRUSDT,45452.0,0.1592
3,ASTRUSDT,128110.8,0.1591
4,ASTRUSDT,251846.6,0.159
5,ASTRUSDT,264914.0,0.1589
6,ASTRUSDT,86435.6,0.1588
7,ASTRUSDT,69812.3,0.1587
8,ASTRUSDT,33850.2,0.1586
9,ASTRUSDT,13533.1,0.1585
10,ASTRUSDT,26908.0,0.1584
11,ASTRUSDT,26924.6,0.1581
12,ASTRUSDT,7564.9,0.1579
13,ASTRUSDT,14501.5,0.1577
14,ASTRUSDT,717.5,0.1547
15,ASTRUSDT,13464.8,0.0575
16,ASTRUSDT,2510.3,0.0574
0,SANTOSUSDT,6.57,5.829
0,ENSUSDT,274.38,21.38
1,ENSUSDT,0.62,21.32
0,SPELLUSDT,89013.0,0.0009011
1,SPELLUSDT,89013.0,0.000901
2,SPELLUSDT,97345.0,0.0009009
3,SPELLUSDT,97340.0,0.0009008
4,SPELLUSDT,769450.0,0.0009002
5,SPELLUSDT,23328423.0,0.0009
6,SPELLUSDT,0.0,0.0008966
7,SPELLUSDT,32672958.0,0.0008962
8,SPELLUSDT,377380.0,0.000896
9,SPELLUSDT,174046.0,0.0008957
10,SPELLUSDT,1239304.0,0.0008944
11,SPELLUSDT,59254.0,0.0008248
0,TUSDT,133846.2,0.02885
1,TUSDT,25160.2,0.02882
0,KP3RUSDT,0.24,75.48
0,ALCXUSDT,25.3387,30.57
1,ALCXUSDT,0.0,30.55
2,ALCXUSDT,49.7394,30.54
3,ALCXUSDT,72.659,30.52
4,ALCXUSDT,0.0,30.49
0,WOOUSDT,2148.4,0.5135
1,WOOUSDT,334.1,0.5066
0,LDOUSDT,790.35,3.307
1,LDOUSDT,2274.52,3.304
2,LDOUSDT,3873.27,3.303
3,LDOUSDT,8122.15,3.302
4,LDOUSDT,5578.56,3.299
5,LDOUSDT,4442.49,3.293
6,LDOUSDT,1724.1,3.292
0,CITYUSDT,2.66,3.219
1,CITYUSDT,12.39,3.209
2,CITYUSDT,273.62,3.207
0,SCRTUSDT,0.0,0.5107
0,JOEUSDT,0.0,0.5513
0,BSWUSDT,23159.9,0.126
0,API3USDT,696.8,3.898
1,API3USDT,3253.46,3.891
2,API3USDT,93.68,3.889
0,APEUSDT,20775.37,1.772
0,BICOUSDT,7293.52,0.3692
0,PEOPLEUSDT,60614.4,0.02913
1,PEOPLEUSDT,159747.8,0.02911
0,GLMRUSDT,189.3,0.4353
1,GLMRUSDT,3551.8,0.4346
2,GLMRUSDT,6221.5,0.4327
0,JASMYUSDT,0.0,0.015873
1,JASMYUSDT,0.0,0.015872
2,JASMYUSDT,0.0,0.015871
3,JASMYUSDT,0.0,0.01587
4,JASMYUSDT,0.0,0.015869
5,JASMYUSDT,0.0,0.015868
6,JASMYUSDT,945.4,0.015867
7,JASMYUSDT,0.0,0.015866
8,JASMYUSDT,6157.6,0.015865
9,JASMYUSDT,0.0,0.015864
10,JASMYUSDT,473.2,0.015863
11,JASMYUSDT,0.0,0.015862
12,JASMYUSDT,8689.0,0.015861
13,JASMYUSDT,30768.1,0.01586
14,JASMYUSDT,258804.9,0.015859
15,JASMYUSDT,26767.8,0.015858
16,JASMYUSDT,31878.6,0.015853
17,JASMYUSDT,44616.3,0.01585
18,JASMYUSDT,44549.7,0.015847
19,JASMYUSDT,178642.6,0.015845
20,JASMYUSDT,18549.4,0.01584
21,JASMYUSDT,19331.7,0.015836
22,JASMYUSDT,51604.0,0.015832
23,JASMYUSDT,0.0,0.015823
24,JASMYUSDT,0.0,0.015821
25,JASMYUSDT,18730.1,0.015817
26,JASMYUSDT,18549.4,0.015816
27,JASMYUSDT,61492.8,0.015815
28,JASMYUSDT,252394.3,0.015811
29,JASMYUSDT,470426.4,0.015796
30,JASMYUSDT,810288.5,0.015795
31,JASMYUSDT,67735.1,0.015792
32,JASMYUSDT,0.0,0.015775
33,JASMYUSDT,544.0,0.015774
34,JASMYUSDT,8847.8,0.015768
35,JASMYUSDT,922053.2,0.015764
36,JASMYUSDT,152293.6,0.015759
37,JASMYUSDT,494150.4,0.015754
38,JASMYUSDT,0.0,0.015745
39,JASMYUSDT,123640.3,0.015741
40,JASMYUSDT,379618.1,0.015733
41,JASMYUSDT,0.0,0.015727
42,JASMYUSDT,477.2,0.015723
43,JASMYUSDT,444725.9,0.015719
44,JASMYUSDT,11415.5,0.015675
45,JASMYUSDT,260563.8,0.015636
46,JASMYUSDT,1919.9,0.015626
47,JASMYUSDT,64370.7,0.015473
48,JASMYUSDT,0.0,0.015391
49,JASMYUSDT,1303.9,0.015339
0,GALUSDT,128.27,3.071
1,GALUSDT,2015.418,3.064
2,GALUSDT,1301.366,3.062
3,GALUSDT,622.612,3.05
0,ACHUSDT,16382.0,0.02736
1,ACHUSDT,11100.0,0.02735
2,ACHUSDT,50550.0,0.02734
3,ACHUSDT,129107.0,0.02732
4,ACHUSDT,68090.0,0.02731
5,ACHUSDT,111215.0,0.0273
6,ACHUSDT,13460.0,0.02714
7,ACHUSDT,1975655.0,0.027
0,PLAUSDT,62869.84,0.2147
1,PLAUSDT,1701.06,0.2144
2,PLAUSDT,25284.48,0.2124
0,ASTRUSDT,26106.8,0.1594
1,ASTRUSDT,83489.2,0.1593
2,ASTRUSDT,164343.6,0.1591
3,ASTRUSDT,270946.6,0.159
4,ASTRUSDT,267465.4,0.1589
5,ASTRUSDT,81058.7,0.1588
6,ASTRUSDT,52753.1,0.1587
7,ASTRUSDT,26861.5,0.1581
8,ASTRUSDT,220544.5,0.1578
0,RNDRUSDT,1369.02,7.505
1,RNDRUSDT,1835.97,7.504
2,RNDRUSDT,470.16,7.503
3,RNDRUSDT,3117.53,7.502
4,RNDRUSDT,133.87,7.501
5,RNDRUSDT,545.07,7.495
6,RNDRUSDT,3421.95,7.493
7,RNDRUSDT,648.36,7.492
8,RNDRUSDT,375.23,7.491
9,RNDRUSDT,291.2,7.485
10,RNDRUSDT,863.05,7.476
0,AMPUSDT,1517.0,0.004943
1,AMPUSDT,60305.0,0.004942
2,AMPUSDT,0.0,0.004859
0,TUSDT,192788.2,0.0289
1,TUSDT,176322.1,0.02886
0,VOXELUSDT,4162.9,0.2462
1,VOXELUSDT,16102.9,0.246
0,POWRUSDT,48489.0,0.3567
0,LDOUSDT,3722.27,3.303
1,LDOUSDT,8030.53,3.302
2,LDOUSDT,4803.96,3.3
0,ACAUSDT,58415.55,0.1011
0,ENSUSDT,149.0,21.34
1,ENSUSDT,163.14,21.32
0,SPELLUSDT,0.0,0.0009011
1,SPELLUSDT,97345.0,0.000901
2,SPELLUSDT,97345.0,0.0009009
3,SPELLUSDT,447071.0,0.0009008
4,SPELLUSDT,446894.0,0.0009002
5,SPELLUSDT,14971419.0,0.0008962
6,SPELLUSDT,29306425.0,0.0008961
7,SPELLUSDT,18410543.0,0.000896
0,QIUSDT,71019.0,0.01692
0,CVXUSDT,475.138,4.997
1,CVXUSDT,275.415,4.994
2,CVXUSDT,94.275,4.99
3,CVXUSDT,32.23,4.989
