,coin,v,price
0,PENDLEUSDT,0.0,2.8158
1,PENDLEUSDT,2.7,2.8157
2,PENDLEUSDT,0.0,2.8156
3,PENDLEUSDT,35.2,2.8154
4,PENDLEUSDT,30.9,2.8153
5,PENDLEUSDT,0.0,2.8152
6,PENDLEUSDT,131.1,2.8129
7,PENDLEUSDT,102.5,2.8099
8,PENDLEUSDT,212.9,2.8096
9,PENDLEUSDT,0.0,2.8063
10,PENDLEUSDT,1962.5,2.8054
11,PENDLEUSDT,6.3,2.765
12,PENDLEUSDT,18.0,1.0138
0,OSMOUSDT,4.81,1.5792
1,OSMOUSDT,0.0,1.5791
2,OSMOUSDT,4.82,1.579
3,OSMOUSDT,3257.07,1.5788
4,OSMOUSDT,379.53,1.5787
5,OSMOUSDT,0.0,1.5783
6,OSMOUSDT,274.22,1.5782
7,OSMOUSDT,0.0,1.5767
0,LEVERUSDT,795725.0,0.00186
1,LEVERUSDT,1654580.0,0.001859
2,LEVERUSDT,3882950.0,0.001858
3,LEVERUSDT,4958901.0,0.001857
4,LEVERUSDT,5292332.0,0.001856
5,LEVERUSDT,2353686.0,0.001855
0,PHBUSDT,0.0,1.8978
1,PHBUSDT,345.0,1.8977
2,PHBUSDT,543.0,1.8976
3,PHBUSDT,7.0,1.8975
4,PHBUSDT,268.0,1.8969
5,PHBUSDT,646.0,1.8606
6,PHBUSDT,2105.0,1.8506
7,PHBUSDT,872.0,1.8505
8,PHBUSDT,0.0,1.8504
9,PHBUSDT,0.0,1.8302
0,LOOMUSDT,45771.0,0.10045
0,FDUSDUSDT,95500.0,1.0005
1,FDUSDUSDT,2436389.0,1.0004
0,ASTUSDT,31260.0,0.107
1,ASTUSDT,1112.0,0.1068
0,RDNTUSDT,22688.0,0.3594
0,VIBUSDT,8176.0,0.073
1,VIBUSDT,24454.0,0.07299
2,VIBUSDT,0.0,0.07296
3,VIBUSDT,72.0,0.07295
4,VIBUSDT,12387.0,0.07279
5,VIBUSDT,0.0,0.07278
6,VIBUSDT,75.0,0.07277
7,VIBUSDT,7467.0,0.07276
0,MAGICUSDT,6484.2,1.2541
1,MAGICUSDT,314.5,1.2538
2,MAGICUSDT,113.2,1.2535
3,MAGICUSDT,2611.2,1.2534
0,POLYXUSDT,37204.0,0.1865
1,POLYXUSDT,30013.7,0.1864
0,MAVUSDT,0.0,0.6675
