coin,amount_max,till_date
PIVXUSDT,0.0,2024-02-18
BEAMXUSDT,0.0,2024-02-18
ORDIUSDT,0.0,2024-02-18
MEMEUSDT,0.0,2024-02-18
TIAUSDT,0.0,2024-02-18
BTCUSDT,94611984.0,2024-02-18
ETHUSDT,44405933.0,2024-02-18
BNBUSDT,8255880.0,2024-02-18
NEOUSDT,256301.0,2024-02-18
LTCUSDT,4415062.0,2024-02-18
QTUMUSDT,141265.7,2024-02-18
ADAUSDT,4092818.7,2024-02-18
XRPUSDT,16540825.0,2024-02-18
EOSUSDT,1013279.3,2024-02-18
TUSDUSDT,16304963.0,2024-02-18
IOTAUSDT,888229.0,2024-02-18
XLMUSDT,5950513.0,2024-02-18
ONTUSDT,1389067.0,2024-02-18
TRXUSDT,15848126.7,2024-02-18
ETCUSDT,647614.0,2024-02-18
ICXUSDT,930593.7,2024-02-18
NULSUSDT,272304.0,2024-02-18
VETUSDT,22940713.2,2024-02-18
USDCUSDT,26769618.0,2023-11-01
LINKUSDT,3034023.0,2024-02-18
WAVESUSDT,591365.0,2024-02-18
ONGUSDT,380665.0,2024-02-18
HOTUSDT,93861085.0,2024-02-18
ZILUSDT,11432838.4,2024-02-18
ZRXUSDT,3284568.0,2024-02-18
FETUSDT,2263752.0,2024-02-18
BATUSDT,1197192.0,2024-02-18
XMRUSDT,729980.0,2024-02-18
ZECUSDT,189312.0,2024-02-18
IOSTUSDT,16292019.0,2024-02-18
CELRUSDT,42477561.3,2024-02-18
DASHUSDT,147098.0,2024-02-18
OMGUSDT,295708.60000000003,2024-02-18
THETAUSDT,417689.5,2024-02-18
ENJUSDT,1698698.2,2024-02-18
MATICUSDT,4842128.399999999,2024-02-18
ATOMUSDT,993297.0,2024-02-18
TFUELUSDT,3149507.0,2024-02-18
ONEUSDT,9194520.2,2024-02-18
FTMUSDT,2517993.0,2024-02-18
ALGOUSDT,4790897.0,2024-02-18
DOGEUSDT,54218925.0,2024-02-18
DUSKUSDT,2199819.0,2024-02-18
ANKRUSDT,12886142.2,2024-02-18
WINUSDT,917530992.0,2024-02-18
COSUSDT,31169999.7,2024-02-18
MTLUSDT,761879.0,2024-02-18
TOMOUSDT,954463.0,2023-11-01
PERLUSDT,3194233.8,2024-02-18
DENTUSDT,105331374.0,2024-02-18
KEYUSDT,42531178.0,2024-02-18
DOCKUSDT,2334915.0,2024-02-18
WANUSDT,962016.0,2024-02-18
FUNUSDT,14356794.0,2024-02-18
CVCUSDT,2162555.0,2024-02-18
CHZUSDT,8308725.0,2024-02-18
BANDUSDT,335795.0,2024-02-18
BUSDUSDT,11149067.0,2023-11-01
XTZUSDT,357773.5,2024-02-18
RENUSDT,9518186.0,2024-02-18
RVNUSDT,6466743.300000001,2024-02-18
HBARUSDT,11612993.0,2024-02-18
NKNUSDT,1358756.0,2024-02-18
STXUSDT,1261140.1,2024-02-18
KAVAUSDT,725547.5,2024-02-18
ARPAUSDT,5713680.3,2024-02-18
IOTXUSDT,10030200.0,2024-02-18
RLCUSDT,268686.7,2024-02-18
CTXCUSDT,849446.0,2024-02-18
BCHUSDT,3675494.0,2024-02-18
TROYUSDT,34162380.0,2024-02-18
VITEUSDT,3692114.3,2024-02-18
FTTUSDT,15894070.0,2024-02-18
EURUSDT,1868628.0,2023-11-01
OGNUSDT,5646313.0,2024-02-18
DREPUSDT,449332.0,2024-02-18
WRXUSDT,295973.7,2024-02-18
BTSUSDT,7567150.4,2024-02-18
LSKUSDT,185528.2,2024-02-18
BNTUSDT,1608208.0,2024-02-18
LTOUSDT,1026164.0,2024-02-18
MBLUSDT,77699030.0,2024-02-18
COTIUSDT,3226684.0,2024-02-18
STPTUSDT,3109915.2,2024-02-18
WTCUSDT,780907.0,2024-02-18
DATAUSDT,69229.0,2024-02-18
SOLUSDT,8482287.0,2024-02-18
CTSIUSDT,156394.0,2024-02-18
HIVEUSDT,39241.0,2024-02-18
CHRUSDT,261941.0,2024-02-18
BTCUPUSDT,32335.0,2023-12-03
BTCDOWNUSDT,67405.0,2023-12-03
ARDRUSDT,41505.0,2024-02-18
MDTUSDT,366111.0,2024-02-18
STMXUSDT,1969113.0,2024-02-18
