coin,price,amount,type
XMRUSDT,121.27,0.836,SELL
COTIUSDT,0.17028,35,BUY
PIXELUSDT,0.5357289,21,BUY
COTIUSDT,0.17026,2119,BUY
COTIUSDT,0.17079,1281,BUY
COTIUSDT,0.17057,820,BUY
COTIUSDT,0.17082,3600,BUY
COTIUSDT,0.17115,3118,BUY
COTIUSDT,0.17128,4616,BUY
COTIUSDT,0.17117,12024,BUY
COTIUSDT,0.17176,1197,BUY
COTIUSDT,0.17174,3615,BUY
PIXELUSDT,0.5368043,3572,BUY
GLMUSDT,0.3360421,44,SELL
PIXELUSDT,0.5374541,1514,BUY
AGIXUSDT,0.7307067,902,SELL
WOOUSDT,0.51918,527,SELL
AGIXUSDT,0.7302346,189,SELL
GRTUSDT,0.27558,103,BUY
ARKMUSDT,1.4276065,352,BUY
NEARUSDT,3.8803,92,BUY
RNDRUSDT,7.160917,143.3,SELL
