coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_va,v_8_va,v_4_a,v_8_a,d8_a
ARDRUSDT,84,2800.1193,0.0,1910497.0,2031009.0,181340.2837,193260.2437,193260.2437
ARPAUSDT,3770,2222056.7460000003,2671719.829275001,14277483.1,14317337.3,962025.372237,964886.197023,964886.197023
CHRUSDT,5359,1165621.4528,403333.29920000007,4879734.0,4967431.0,2095056.4343,2134451.4521,2134451.4521
CHZUSDT,11404,3251482.8515999997,353097.5844,12550200.0,12671143.0,1598586.75858,1614753.1351,1614753.1351
COMPUSDT,4329,3503480.676335999,3500634.0538079995,22995.14,23023.413,1564773.13305,1566824.3392,1566824.3392
COTIUSDT,539517,2127228732.4189997,267253639.21059996,24833139.0,30191563.0,4033743.97522,4945538.87208,4945538.87208
DATAUSDT,1802,81133.48534499998,203261.52976499998,6032418.9,6709679.0,439834.792444,491486.008912,491486.008912
DGBUSDT,299,3263.041152,463221.2503799999,49150237.4,49150237.4,510415.283824,510415.283824,510415.283824
DOCKUSDT,381,553966.1712,646544.5542,10095593.0,10128266.0,357163.95008,358340.91018,358340.91018
GFTUSDT,1939,1762424.5671899999,1041734.4524999999,71813094.0,71815811.0,1532147.71147,1532208.19189,1532208.19189
HBARUSDT,1408,11729395.9719,10599750.7296,229989483.0,229989483.0,25194024.9972,25194024.9972,25194024.9972
HIVEUSDT,116,664.1270999999999,664.1270999999999,245374.0,245420.0,82195.73300000001,82212.1136,82212.1136
IOTXUSDT,3850,3643260.7411200004,2806201.40736,18513832.0,18837500.0,1101094.67899,1121360.86199,1121360.86199
IQUSDT,1787,1551359.521125,1364806.878,23675821.0,25551278.0,173551.871878,187831.51271,187831.51271
KAVAUSDT,633,5574147.280600001,1347229.4402000003,12861336.1,12863697.8,10521739.5377,10523784.7699,10523784.7699
KNCUSDT,2209,153381.26250000004,1589372.7862500004,541715.9,579089.9,373681.84792000003,400873.06804,400873.06804
LRCUSDT,2065,291093.22000000003,687872.295,3222510.0,3229113.0,878959.7952,880873.3446000001,880873.3446000001
LSKUSDT,826,3845396.23065,1228684.96725,145409.1,233762.0,200200.1754,326527.1766,326527.1766
LTOUSDT,314,552806.17175,495126.9455999999,6237954.0,6593383.0,625266.1289,661871.5826,661871.5826
MBLUSDT,6437,914186.391636,113947.032465,231390544.0,231394587.0,1155390.227718,1155411.71222,1155411.71222
MDTUSDT,10548,5686417.8837285,3412328.712157501,7094621.9,7828000.1,541240.714706,599694.338844,599694.338844
NKNUSDT,398,121855.02119999997,12094.525599999997,10070820.0,10164096.0,1363221.7902,1376455.6608,1376455.6608
OGNUSDT,1365,240146.76000000004,214719.456,17667279.0,17935563.0,3110481.0747,3160390.0425,3160390.0425
PNTUSDT,411,258933.3504,258933.3504,3506658.0,4670837.0,650304.8663,871428.1165,871428.1165
RENUSDT,69605,20894940.299999997,13017477.599999998,1487615.0,1628237.0,122991.979779,135355.659279,135355.659279
RLCUSDT,3050,13347842.1945,12482546.241,83055.0,101117.8,310964.8994,382744.1435,382744.1435
RVNUSDT,3186,7447941.73065,5062933.55952,7286645.1,9848576.1,178683.544734,245294.942091,245294.942091
SCUSDT,217886,1254935269.46172,147170912.64183,108568902.0,154203533.0,1311022.330304,1882941.593167,1882941.593167
SNXUSDT,18547,111619402.216,39222146.432000004,892855.7,897943.5,3650393.1789,3672772.9459,3672772.9459
SOLUSDT,29331,121057264.96416001,91585062.15408002,603722.08,799051.62,63422492.3755,84911415.4917,84911415.4917
STMXUSDT,2227,42176.904,42176.904,64120335.0,69491728.0,512701.98288,557592.8949,557592.8949
STXUSDT,82680,55307976.23879999,18513481.5054,797865.6,807066.8,2073044.74446,2097920.89224,2097920.89224
VTHOUSDT,4405,5489564.111262,0.0,139516875.0,145854118.0,678620.41932,711390.170971,711390.170971
WANUSDT,255,138526.822,9755.41,156116.0,166016.0,36329.5491,38733.2336,38733.2336
