coin,Unnamed: 0,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b
AAVEUSDT,13326,74545125.121202,70491319.026778,29705.35,30445.583,2943393.38329,3011624.25729,3011624.25729
AKROUSDT,2440,2549243.837952,2585474.414136,10729934.0,10735659.0,61220.038097000004,61251.783222000005,61251.783222000005
ALPHAUSDT,2074,11455459.33895,8648579.32255,16226087.0,16255075.0,2232258.4125,2236087.1327,2236087.1327
AUDIOUSDT,1885,2300460.83085,1738461.0321000002,4545442.5,4545840.2,1084736.79778,1084827.06244,1084827.06244
AVAXUSDT,3385,53954694.486,40501564.14149999,414652.77,426113.61,15130458.0855,15522619.2719,15522619.2719
AXSUSDT,460,7397235.152,519113.7399999998,459374.41000000003,459374.41000000003,3691522.4389,3691522.4389,3691522.4389
BALUSDT,2494,982371.743745,994597.4796799999,74172.06999999999,74442.36,344349.98559,345553.75045,345553.75045
BELUSDT,4407,11393931.06215,7007087.16855,892415.8,904208.1,652162.7467,660319.7328,660319.7328
CRVUSDT,3385,8754011.286349999,6071439.06765,2534653.1,2534653.1,1513833.1189599999,1513833.1189599999,1513833.1189599999
CTKUSDT,17413,3985536.7654799996,1551036.0573000002,897825.9,897845.3,709773.93676,709788.73702,709788.73702
DCRUSDT,4352,6843334.728384,5731133.0482560005,45200.338,46125.796,902319.26533,920252.04438,920252.04438
DIAUSDT,1663,1777482.7713900001,1702928.97486,299915.3,299915.3,152817.97227,152817.97227,152817.97227
DOTUSDT,9088,126054685.976,118840427.52799994,565054.99,566729.85,4386833.35844,4399043.08784,4399043.08784
EGLDUSDT,2595,7743323.873179999,2076544.4390600002,14975.03,14975.03,866058.973,866058.973,866058.973
FILUSDT,24972,287696638.463,241157740.40280002,3211974.96,3326702.88,25069679.13148,25930091.20681,25930091.20681
FIOUSDT,1313,142388.39709,48892.82508,9704426.0,10021761.0,322843.42448,332714.89530000003,332714.89530000003
FLMUSDT,391,3160592.83125,646108.3124999999,5620529.0,5673853.0,551395.7701,556357.3667,556357.3667
INJUSDT,4602,145612947.744,139071509.28,279627.1,280550.4,9673888.014,9704364.534,9704364.534
IRISUSDT,3379,654852.00825,133260.11932199998,8876283.2,8993075.3,293019.447909,296658.379872,296658.379872
JSTUSDT,353,228190.18140000003,427984.6096000001,5773884.1,5783450.4,194337.986056,194637.985224,194637.985224
KMDUSDT,3724,395858.84800000006,46661.32800000001,1700694.0,1700694.0,519416.6922,519416.6922,519416.6922
KSMUSDT,3052,933675.1139100001,108531.57315000003,9142.515,9147.54,428496.99532,428716.83907,428716.83907
LUNAUSDT,4853,9716443.688315002,17911527.591685005,2379502.64,2382859.72,1576448.171218,1578583.6492909999,1578583.6492909999
MANAUSDT,3369,6489911.3629,3800893.4778,2778927.0,2806285.0,1382023.5761,1394881.1241,1394881.1241
MKRUSDT,1200,2346077.2202648,1848083.2890255998,1475.5987,1488.46,2977622.104,3001994.132,3001994.132
NEARUSDT,12569,297126102.14100003,159918988.43249997,1662227.0,1680860.1,6254300.3269,6321445.9807,6321445.9807
NMRUSDT,1030,923229.0747100001,146670.8252,59229.54,59229.54,1831760.8404,1831760.8404,1831760.8404
NTRNUSDT,60618,90217347.51,65745990.015000015,3897701.2,3899743.5,6141276.16174,6144310.10217,6144310.10217
OCEANUSDT,11453,9189511.3992,12788542.5448,921376.0,921376.0,661088.6904,661088.6904,661088.6904
ORNUSDT,26353,13991650.146900002,6305687.06625,124834.3,127993.5,193560.83733,198235.72731000002,198235.72731000002
OXTUSDT,1042,3859230.6123000006,2906176.57995,21736863.0,21755947.0,2661203.7178,2663434.006,2663434.006
PAXGUSDT,12,369616.39170855,106172.62645185001,146.41219999999998,146.6035,292046.2365,292412.4681,292412.4681
RSRUSDT,1301,1087137.361305,516107.795661,120872706.8,120872706.8,376713.719287,376713.719287,376713.719287
RUNEUSDT,5944,56477735.6,40058582.9072,1078807.3,1086605.4,5844700.2414,5883702.1796,5883702.1796
SANDUSDT,5684,11116007.175000003,4081232.9250000007,4623786.0,4625203.0,2400910.6550000003,2401613.9753,2401613.9753
STORJUSDT,4149,1143571.9392000001,1261896.9168000002,2102329.0,2106487.0,1532788.1,1535615.54,1535615.54
SUNUSDT,296,394354.584,198458.27639999997,47304427.0,48551656.0,507226.01183,520066.61188,520066.61188
SUSHIUSDT,9469,224784897.17799997,340843238.28739995,1984892.1,2036313.9,3307424.7595,3389884.6526,3389884.6526
SXPUSDT,1880,2628080.70452,517146.15187999996,3343403.5,3345696.8,1199402.95395,1200189.65055,1200189.65055
TIAUSDT,31294,158869061.28974998,31635455.496749997,588552.7,588683.8,9950373.61766,9952481.38417,9952481.38417
TRBUSDT,23126,700716.41595,29566.0935,35636.5,36989.64,4059281.8676,4207768.4092,4207768.4092
UMAUSDT,3239,8658767.4,4647568.416,366756.5,366828.7,1454233.0586,1454500.8546,1454500.8546
UNIUSDT,62994,161656882.20990002,65012650.141725,475133.17,475138.52,5276187.91215,5276243.57608,5276243.57608
UTKUSDT,389,478672.84880000004,244494.584,5379381.0,5383447.0,424279.00800000003,424580.967,424580.967
WINGUSDT,388,1009989.2088,508058.3508,50929.57,51424.82,468766.4237,473124.6237,473124.6237
WNXMUSDT,2697,226383.94759,0.0,5238.01,5238.01,322929.0295,322929.0295,322929.0295
XVSUSDT,567,678009.8669400001,0.0,172508.55,173869.97,2179227.9496,2195592.218,2195592.218
YFIUSDT,15169,28702666.1447559,20401687.832042877,366.5762,366.5762,3057342.20676,3057342.20676,3057342.20676
