,Unnamed: 0,coin,v,price
0,0,XVSUSDT,573.91,12.66
1,1,XVSUSDT,434.27,12.59
2,2,XVSUSDT,31.13,12.57
3,3,XVSUSDT,40.11,11.42
4,0,DCRUSDT,7.485,20.41
5,1,DCRUSDT,0.515,19.54
6,0,RUNEUSDT,1993.1,5.428
7,1,RUNEUSDT,534.1,5.427
8,0,NEARUSDT,1721.0,3.799
9,1,NEARUSDT,630.6,3.797
10,2,NEARUSDT,478.5,3.772
11,3,NEARUSDT,1035.8,3.759
12,0,RSRUSDT,123726.7,0.003128
13,0,IRISUSDT,3786.6,0.03349
14,1,IRISUSDT,6993.6,0.03348
15,2,IRISUSDT,4573.3,0.03346
16,3,IRISUSDT,17942.5,0.03339
17,4,IRISUSDT,0.0,0.03337
18,5,IRISUSDT,71732.9,0.03235
19,6,IRISUSDT,62907.4,0.03228
20,0,FILUSDT,72.62,7.85
21,1,FILUSDT,941.28,7.849
22,2,FILUSDT,1112.02,7.848
23,3,FILUSDT,562.1,7.826
24,0,EGLDUSDT,4.35,20.91
25,0,DOTUSDT,705.08,7.792
26,1,DOTUSDT,2532.63,7.79
27,2,DOTUSDT,1534.15,7.786
28,3,DOTUSDT,6124.09,7.784
29,4,DOTUSDT,1245.42,7.775
30,0,UMAUSDT,2748.8,3.982
31,1,UMAUSDT,47.5,3.85
32,2,UMAUSDT,12.7,3.849
33,0,TRBUSDT,0.0,115.32
34,1,TRBUSDT,25.18,115.27
35,2,TRBUSDT,8.97,115.23
36,3,TRBUSDT,55.96,115.21
37,4,TRBUSDT,39.42,115.2
38,5,TRBUSDT,42.83,115.19
39,6,TRBUSDT,8.32,115.17
40,7,TRBUSDT,23.01,115.15
41,8,TRBUSDT,2.02,115.13
42,9,TRBUSDT,73.94,115.12
43,10,TRBUSDT,40.67,115.11
44,11,TRBUSDT,19.13,115.1
45,12,TRBUSDT,48.16,114.97
46,13,TRBUSDT,26.09,114.95
47,14,TRBUSDT,14.02,114.88
48,15,TRBUSDT,0.0,114.87
49,16,TRBUSDT,0.13,114.86
50,17,TRBUSDT,18.23,114.85
51,18,TRBUSDT,0.06,114.83
52,0,WINGUSDT,645.32,9.29
53,0,STORJUSDT,1728.0,0.732
54,1,STORJUSDT,1382.0,0.7306
55,2,STORJUSDT,966.0,0.7291
56,0,NTRNUSDT,0.0,1.581
57,1,NTRNUSDT,11.5,1.5804
58,2,NTRNUSDT,5.2,1.58
59,3,NTRNUSDT,89.6,1.5798
60,4,NTRNUSDT,84.3,1.5797
61,5,NTRNUSDT,89.7,1.5796
62,6,NTRNUSDT,112.0,1.5795
63,7,NTRNUSDT,5.5,1.5794
64,8,NTRNUSDT,0.0,1.5793
65,9,NTRNUSDT,89.9,1.5792
66,10,NTRNUSDT,0.0,1.5791
67,11,NTRNUSDT,16.8,1.579
68,12,NTRNUSDT,0.0,1.5789
69,13,NTRNUSDT,368.7,1.5788
70,14,NTRNUSDT,0.0,1.5787
71,15,NTRNUSDT,114.9,1.5786
72,16,NTRNUSDT,0.0,1.5785
73,17,NTRNUSDT,61.7,1.5784
74,18,NTRNUSDT,0.0,1.5783
75,19,NTRNUSDT,1005.1,1.5782
76,20,NTRNUSDT,2873.3,1.5781
77,21,NTRNUSDT,251.9,1.578
78,22,NTRNUSDT,0.0,1.5779
79,23,NTRNUSDT,0.0,1.5778
80,24,NTRNUSDT,601.0,1.5777
81,25,NTRNUSDT,56.7,1.5776
82,26,NTRNUSDT,0.0,1.5775
83,27,NTRNUSDT,434.3,1.5774
84,28,NTRNUSDT,0.0,1.5773
85,29,NTRNUSDT,61.9,1.5772
86,30,NTRNUSDT,0.0,1.5771
87,31,NTRNUSDT,189.9,1.577
88,32,NTRNUSDT,56.7,1.5768
89,33,NTRNUSDT,0.0,1.5765
90,34,NTRNUSDT,61.8,1.5764
91,35,NTRNUSDT,0.0,1.5763
92,36,NTRNUSDT,0.0,1.5762
93,37,NTRNUSDT,1091.9,1.5761
94,38,NTRNUSDT,195.7,1.576
95,39,NTRNUSDT,3086.8,1.5759
96,40,NTRNUSDT,0.0,1.5758
97,41,NTRNUSDT,0.0,1.5757
98,42,NTRNUSDT,62.1,1.5756
99,43,NTRNUSDT,0.0,1.5755
100,44,NTRNUSDT,9.1,1.5754
101,45,NTRNUSDT,500.0,1.5753
102,46,NTRNUSDT,693.4,1.5752
103,47,NTRNUSDT,0.0,1.5751
104,48,NTRNUSDT,184.8,1.575
105,49,NTRNUSDT,0.0,1.5749
106,50,NTRNUSDT,62.0,1.5748
107,51,NTRNUSDT,0.0,1.5747
108,52,NTRNUSDT,56.7,1.5744
109,53,NTRNUSDT,5000.0,1.5743
110,54,NTRNUSDT,0.0,1.5742
111,55,NTRNUSDT,0.0,1.5741
112,56,NTRNUSDT,195.1,1.574
113,57,NTRNUSDT,0.0,1.5739
114,58,NTRNUSDT,0.0,1.5737
115,59,NTRNUSDT,0.0,1.5735
116,60,NTRNUSDT,0.0,1.5734
117,61,NTRNUSDT,162.2,1.5733
118,62,NTRNUSDT,5.1,1.5732
119,63,NTRNUSDT,4642.2,1.5731
120,64,NTRNUSDT,189.9,1.573
121,65,NTRNUSDT,273.4,1.5729
122,66,NTRNUSDT,69.9,1.5728
123,67,NTRNUSDT,5.0,1.5724
124,68,NTRNUSDT,0.0,1.5723
125,69,NTRNUSDT,0.0,1.5722
126,70,NTRNUSDT,0.0,1.5721
127,71,NTRNUSDT,189.9,1.572
128,72,NTRNUSDT,0.0,1.5719
129,73,NTRNUSDT,0.0,1.5718
130,74,NTRNUSDT,0.0,1.5717
131,75,NTRNUSDT,4.9,1.5716
132,76,NTRNUSDT,0.0,1.5715
133,77,NTRNUSDT,626.5,1.5714
134,78,NTRNUSDT,63.6,1.5712
135,79,NTRNUSDT,0.0,1.5711
136,80,NTRNUSDT,189.9,1.571
137,81,NTRNUSDT,66.8,1.5709
138,82,NTRNUSDT,62.0,1.5708
139,83,NTRNUSDT,0.0,1.5707
140,84,NTRNUSDT,0.0,1.5706
141,85,NTRNUSDT,0.0,1.5705
142,86,NTRNUSDT,57.2,1.5704
143,87,NTRNUSDT,144.4,1.5703
144,88,NTRNUSDT,0.0,1.5702
145,89,NTRNUSDT,0.0,1.5701
146,90,NTRNUSDT,252.9,1.57
147,91,NTRNUSDT,0.0,1.5699
148,92,NTRNUSDT,0.0,1.5698
149,93,NTRNUSDT,0.0,1.5697
150,94,NTRNUSDT,57.3,1.5696
151,95,NTRNUSDT,0.0,1.5695
152,96,NTRNUSDT,0.0,1.5694
153,97,NTRNUSDT,0.0,1.5691
154,98,NTRNUSDT,189.9,1.569
155,99,NTRNUSDT,61719.7,1.5688
156,100,NTRNUSDT,0.0,1.5686
157,101,NTRNUSDT,3.4,1.5685
158,102,NTRNUSDT,11460.0,1.568
159,103,NTRNUSDT,0.0,1.5678
160,104,NTRNUSDT,0.0,1.5677
161,105,NTRNUSDT,63.0,1.5676
162,106,NTRNUSDT,57.5,1.5672
163,107,NTRNUSDT,62.6,1.5668
164,108,NTRNUSDT,0.0,1.5663
165,109,NTRNUSDT,62.5,1.566
166,110,NTRNUSDT,0.0,1.5657
167,111,NTRNUSDT,7.9,1.5656
168,112,NTRNUSDT,273.1,1.5655
169,113,NTRNUSDT,0.0,1.5653
170,114,NTRNUSDT,4.9,1.5652
171,115,NTRNUSDT,0.0,1.565
172,116,NTRNUSDT,760.6,1.5649
173,117,NTRNUSDT,228.9,1.5648
174,118,NTRNUSDT,288.3,1.5641
175,119,NTRNUSDT,263.5,1.564
176,120,NTRNUSDT,55.5,1.5639
177,121,NTRNUSDT,518.1,1.5636
178,122,NTRNUSDT,44.3,1.5633
179,123,NTRNUSDT,1554.0,1.5632
180,124,NTRNUSDT,0.0,1.5631
181,125,NTRNUSDT,0.0,1.563
182,126,NTRNUSDT,0.0,1.5629
183,127,NTRNUSDT,0.0,1.5625
184,128,NTRNUSDT,0.0,1.5623
185,129,NTRNUSDT,214.1,1.562
186,130,NTRNUSDT,0.0,1.561
187,131,NTRNUSDT,1100.4,1.5608
188,132,NTRNUSDT,0.0,1.5599
189,133,NTRNUSDT,0.0,1.5593
190,134,NTRNUSDT,0.0,1.5589
191,135,NTRNUSDT,9341.5,1.5586
192,136,NTRNUSDT,0.0,1.5557
193,137,NTRNUSDT,0.0,1.5541
194,138,NTRNUSDT,0.0,1.5539
195,139,NTRNUSDT,16062.3,1.553
196,140,NTRNUSDT,0.0,1.5511
197,141,NTRNUSDT,131.7,1.5492
198,142,NTRNUSDT,56.1,1.5482
199,143,NTRNUSDT,56.1,1.5458
200,144,NTRNUSDT,6149.0,1.5452
201,145,NTRNUSDT,0.0,1.5438
202,146,NTRNUSDT,0.0,1.5426
203,147,NTRNUSDT,0.0,1.5392
204,148,NTRNUSDT,3094.9,1.5373
205,149,NTRNUSDT,1681.6,1.5294
206,150,NTRNUSDT,0.0,1.5291
207,151,NTRNUSDT,0.0,1.521
208,152,NTRNUSDT,10.6,0.5693
209,153,NTRNUSDT,31.8,0.569
210,154,NTRNUSDT,53.0,0.5687
211,155,NTRNUSDT,169.6,0.5678
212,156,NTRNUSDT,138.1,0.5665
213,157,NTRNUSDT,31.8,0.5663
214,158,NTRNUSDT,63.6,0.5662
215,0,BALUSDT,276.76,4.657
216,1,BALUSDT,277.72,4.654
217,0,AVAXUSDT,1385.84,36.63
218,0,ALPHAUSDT,155458.0,0.1383
219,0,TIAUSDT,7.6,16.9328
220,1,TIAUSDT,0.0,16.9323
221,2,TIAUSDT,0.0,16.9322
222,3,TIAUSDT,0.0,16.9321
223,4,TIAUSDT,0.0,16.932
224,5,TIAUSDT,0.0,16.9319
225,6,TIAUSDT,0.0,16.9318
226,7,TIAUSDT,0.0,16.9317
227,8,TIAUSDT,7.6,16.9303
228,9,TIAUSDT,31.4,16.9302
229,10,TIAUSDT,0.0,16.9301
230,11,TIAUSDT,138.0,16.9233
231,0,CTKUSDT,0.0,0.7828
232,0,AXSUSDT,1403.89,8.04
233,0,BELUSDT,1959.0,0.7337
234,0,SANDUSDT,32621.0,0.5208
235,1,SANDUSDT,9925.0,0.5207
236,0,INJUSDT,69.4,34.79
237,1,INJUSDT,695.7,34.68
238,0,UNIUSDT,98.06,11.215
239,1,UNIUSDT,75.36,11.214
240,2,UNIUSDT,8.03,11.213
241,3,UNIUSDT,218.91,11.204
242,4,UNIUSDT,507.01,11.203
243,5,UNIUSDT,158.7,11.149
244,6,UNIUSDT,0.74,11.144
245,7,UNIUSDT,113.73,11.103
246,8,UNIUSDT,1004.4,11.07
247,9,UNIUSDT,160.44,10.991
248,10,UNIUSDT,49.84,10.879
249,0,OCEANUSDT,6858.0,0.7139
250,0,LUNAUSDT,228.18,0.6217
251,1,LUNAUSDT,99.5,0.603
252,2,LUNAUSDT,163.32,0.5849
253,3,LUNAUSDT,185.07,0.5674
254,0,SXPUSDT,3312.1,0.3591
255,0,SUNUSDT,808333.0,0.01087
256,1,SUNUSDT,70032.0,0.01086
257,2,SUNUSDT,180270.0,0.01085
258,0,MANAUSDT,238.0,0.1799
259,0,BLZUSDT,22818.0,0.3662
260,1,BLZUSDT,4196.0,0.365
261,0,WNXMUSDT,0.0,62.46
262,1,WNXMUSDT,0.0,62.45
263,2,WNXMUSDT,0.0,62.43
264,3,WNXMUSDT,0.58,62.42
265,4,WNXMUSDT,0.94,62.41
266,5,WNXMUSDT,0.0,62.4
267,6,WNXMUSDT,21.69,62.39
268,7,WNXMUSDT,8.03,62.23
269,8,WNXMUSDT,17.86,62.2
270,0,XVSUSDT,80.52,4.57
271,0,DCRUSDT,13.183,20.41
272,1,DCRUSDT,47.889,20.37
273,2,DCRUSDT,89.368,20.36
274,3,DCRUSDT,5.896,20.32
275,4,DCRUSDT,9.338,20.3
276,5,DCRUSDT,56.665,20.27
277,6,DCRUSDT,13.564,20.26
278,7,DCRUSDT,76.096,20.24
279,0,AAVEUSDT,1.215,98.69
280,0,UTKUSDT,5022.0,0.0798
281,1,UTKUSDT,30995.0,0.0794
282,2,UTKUSDT,15598.0,0.0793
283,0,RUNEUSDT,1979.1,5.4
284,0,NEARUSDT,4786.6,3.798
285,1,NEARUSDT,1156.6,3.797
286,2,NEARUSDT,5939.1,3.794
287,0,EGLDUSDT,42.42,58.02
288,0,DOTUSDT,2775.91,7.789
289,0,TRBUSDT,2.6,115.08
290,1,TRBUSDT,29.33,115.06
291,2,TRBUSDT,4.5,115.04
292,0,NTRNUSDT,0.0,1.5809
293,1,NTRNUSDT,0.0,1.5804
294,2,NTRNUSDT,0.0,1.58
295,3,NTRNUSDT,0.0,1.5799
296,4,NTRNUSDT,0.0,1.5798
297,5,NTRNUSDT,0.0,1.5797
298,6,NTRNUSDT,0.0,1.5796
299,7,NTRNUSDT,0.0,1.5795
300,8,NTRNUSDT,0.0,1.5794
301,9,NTRNUSDT,0.0,1.5793
302,10,NTRNUSDT,0.0,1.5792
303,11,NTRNUSDT,0.0,1.579
304,12,NTRNUSDT,0.0,1.5788
305,13,NTRNUSDT,0.0,1.5786
306,14,NTRNUSDT,0.0,1.5785
307,15,NTRNUSDT,0.0,1.5784
308,16,NTRNUSDT,0.0,1.5783
309,17,NTRNUSDT,5.6,1.5782
310,18,NTRNUSDT,120.7,1.5781
311,19,NTRNUSDT,232.1,1.578
312,20,NTRNUSDT,1994.5,1.5779
313,21,NTRNUSDT,5.6,1.5778
314,22,NTRNUSDT,275.3,1.5777
315,23,NTRNUSDT,62.4,1.5776
316,24,NTRNUSDT,113.2,1.5775
317,25,NTRNUSDT,701.6,1.5774
318,26,NTRNUSDT,0.0,1.5773
319,27,NTRNUSDT,729.7,1.5772
320,28,NTRNUSDT,808.3,1.5771
321,29,NTRNUSDT,260.3,1.577
322,30,NTRNUSDT,1263.9,1.5769
323,31,NTRNUSDT,62.4,1.5768
324,32,NTRNUSDT,0.0,1.5767
325,33,NTRNUSDT,4.8,1.5766
326,34,NTRNUSDT,1000.0,1.5765
327,35,NTRNUSDT,921.4,1.5764
328,36,NTRNUSDT,253.5,1.5763
329,37,NTRNUSDT,725.0,1.5762
330,38,NTRNUSDT,262.7,1.5761
331,39,NTRNUSDT,246.6,1.576
332,40,NTRNUSDT,0.0,1.5755
333,41,NTRNUSDT,0.0,1.5754
334,42,NTRNUSDT,0.0,1.5753
335,43,NTRNUSDT,56.7,1.5752
336,44,NTRNUSDT,0.0,1.5751
337,45,NTRNUSDT,0.0,1.5747
338,46,NTRNUSDT,0.0,1.5746
339,47,NTRNUSDT,0.0,1.5745
340,48,NTRNUSDT,2845.7,1.5744
341,49,NTRNUSDT,5569.8,1.5743
