,coin,Unnamed: 0_x,cluster_v_usdt_x,cluster_v_buyer_usdt_x,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b,Unnamed: 0_y,cluster_v_usdt_y,cluster_v_buyer_usdt_y,v_4_va,v_8_va,v_4_a,v_8_a,d8_a,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,amount_max,till_date,Unnamed: 0,buyer,trades_v_usdt,liq_v_l_usdt,liq_v_s_usdt,cluster_max_avg,liq_l_max_avg,liq_s_max_avg,C-i,B/A,B-i,BVi,A/B,A-i,AVi,Liq L,Liq S,L-i L,L-i S,BVi_test,AVi_test
82,RENUSDT,1074298,26205977673.122936,24931483701.957626,39082218.0,42170055.0,2781295.942476,2991192.405305,2991192.405305,899608,25521193714.713615,24280003329.372486,33111004.0,37580887.0,2509222.16659,2860303.758335,2860303.758335,7908362.0,0.07300999999999999,0.071743,0.074929,577389.5096199999,549308.9144899999,9518186.0,2024-02-18,0,2019,806277.586429,3390.4870600000004,2214.92427,141374.01610249997,89975.98453600002,14892.157394999998,4.1,1.0,0.9,4.8,1.0,0.9,4.3,3.4,2.2,0.0,0.1,3.4,3.1
71,IQUSDT,2450758,12620292293.899784,6988610981.9302,243898654.0,252976465.0,1999467.064055,2069994.040402,2069994.040402,845030,7576367575.988354,4195488060.9449496,610984174.0,635465919.0,6109641.635129,6366114.897635,6366114.897635,15377921.0,0.009599,0.008283,0.0099,147612.663679,81741.964325,73595.0,2024-02-18,0,8674,5132012.266,,,64157.29494965001,,,2.3,0.3,1.0,13.5,3.1,1.0,41.4,,,,,0.4,1.2
268,JASMYUSDT,2502502,58208824285.49097,22419533070.51959,1051556164.5,1118382296.5,14858018.0323976,15759114.7947434,15759114.7947434,1568298,48358721202.25004,18625697435.914753,432583562.2,741307841.0,6492408.4179064,11347568.5870167,11347568.5870167,42814657.8,0.014505,0.014237,0.014886,621026.611389,239192.71386450005,402005.0,2024-02-18,0,10602,4241399.4417242,9188.556118,15519.096515000001,270426.663952215,89243.18783420001,34730.2879282,2.3,1.4,0.9,23.9,0.7,0.6,10.5,9.2,15.5,0.1,0.4,3.5,1.5
284,RNDRUSDT,1694169,121329883822.85329,53700901365.0738,15058654.43,15514328.45,117296733.81358,120678570.95941,120678570.95941,1010967,96104531722.13857,42536099237.3676,3198486.68,5080817.71,26225577.10637,42239681.89693,42239681.89693,179909.88,8.002,7.863,8.133,1439638.8597600001,637187.6571,866991.0,2024-02-18,0,12149,11957635.11666,854.7532336,19695.4683518,1086631.8696794999,124891.34958596001,35409.184480259995,1.3,2.9,1.0,81.5,0.4,0.6,18.2,0.9,19.7,0.0,0.6,9.8,2.2
140,UNIUSDT,15498801,116265373307.96904,42047000635.56623,1111081.27,1210617.77,7889336.42872,8559895.94406,8559895.94406,5719804,72359429299.83649,26168556322.442875,3123873.84,21765998.85,35651863.50124,259297257.35256,259297257.35256,59187.14,10.404,7.141,11.159,615783.00456,222695.95535999996,756407.0,2024-02-18,0,19646,14598592.39696,614923.9304,1169930.526,502364.34840599995,281462.60262,114934.86963000002,1.2,0.0,0.9,12.8,30.3,0.1,57.9,614.9,1169.9,2.2,10.2,0.5,2.4
295,AGIXUSDT,18184730,139826734143.68997,49943739903.185,24860425.0,26086707.0,20287549.88272,21234929.31261,21234929.31261,11614829,112827675140.92798,40300133559.072,17128822.0,37776403.0,14759723.84947,33353705.1291,33353705.1291,653928.0,0.8301499999999999,0.82231,0.85257,542858.3291999999,193899.7958,531857.0,2024-02-18,0,9410,3823495.13559,26745.0767066,74461.9522363,439239.28328,97004.58330715999,70195.12527661,1.2,0.6,1.0,37.4,1.6,0.4,27.2,26.7,74.5,0.3,1.1,5.3,3.9
197,ADXUSDT,13384,300192089.472,295186620.3264,17342623.0,21618909.0,3590197.3846,4432246.8076,4432246.8076,10081,173707129.728,170810698.71359998,7320038.0,10640905.0,1588636.1052,2325723.8238,2325723.8238,397140.0,0.2112,0.2088,0.212,83875.968,82477.4016,64831.0,2024-02-18,0,228,246130.1245,,,79345.39551999999,,,1.1,1.9,0.8,42.8,0.5,0.7,18.9,,,,,14.6,6.5
337,WLDUSDT,3416918,141219535629.312,66185316149.60161,12623426.7,17894338.5,108547926.4525,151153430.4662,151153430.4662,1725756,104164340124.67201,48818669116.44961,13642585.3,15753966.7,127452609.2326,148215466.8181,148215466.8181,141952.0,8.748000000000001,8.674,9.183,1241796.0960000001,581992.1928000001,3842802.0,2024-02-18,0,8806,13035782.3501,60691.2683303,231326.4503386,1423884.1342200001,191217.64832292,169956.21433289,0.9,1.0,0.7,87.4,1.0,0.9,102.6,60.7,231.3,0.3,1.4,8.3,9.8
213,DYDXUSDT,501104,33127577982.773815,11356032006.8559,10696776.47,11292800.3,30677612.34002,32292945.68624,32292945.68624,231698,24349120549.52513,8346803754.955575,9573266.59,10130728.02,31010636.00643,32904802.264539998,32904802.264539998,302765.11,3.0484999999999998,2.884,3.2,922979.4378349999,316394.517075,1230816.0,2024-02-18,0,8004,15757882.03732,2592.3235,63234.0115,1053584.0025895,303937.98504000006,132878.21652,0.9,1.0,0.9,33.2,1.0,0.9,33.6,2.6,63.2,0.0,0.5,1.9,2.0
171,LITUSDT,156928,2821054117.217,2451173944.6404,6534362.8,6714433.3,8541859.7273,8766524.0283,8766524.0283,55813,1696548196.266,1474106685.5592,697409.1,2616485.8,994228.9312,3872710.9116,3872710.9116,96583.0,1.379,1.323,1.415,133187.957,115725.1284,385727.0,2024-02-18,0,1763,1780818.3494,77570.1502,17600.9434,160423.254735,73128.5106,18703.24414,0.8,2.3,1.0,64.1,0.4,0.3,7.5,77.6,17.6,1.1,0.9,4.8,0.6
287,SPELLUSDT,583296,6376130329.068446,3574767179.546561,12070112719.0,12737396339.0,9426500.2049843,9920227.1348042,9920227.1348042,437485,5586962081.071853,3132321274.8232417,5436717826.0,5856346762.0,4465518.6440223,4822925.5141413,4822925.5141413,176538844.0,0.0007974,0.0007851,0.000808,140772.0742056,78923.6362332,479595.0,2024-02-18,0,3398,1062648.2959558,21889.6420535,176.6610756,174390.21879385505,60786.4051994,19512.743364179998,0.8,2.1,1.0,67.0,0.5,0.9,31.7,21.9,0.2,0.4,0.0,8.9,4.2
217,FIDAUSDT,86869,628571740.08772,163524283.26233998,18214523.3,18425824.8,6090021.23912,6158036.96879,6158036.96879,40914,451504816.73102,117459944.24618998,2189900.1,3093032.6,784885.55576,1121608.83991,1121608.83991,186354.80000000002,0.33995,0.3371,0.3545,63351.31426,16480.979969999997,323132.0,2024-02-18,0,1031,807457.35926,,,88827.4056385,,,0.7,5.5,1.0,96.1,0.2,0.7,12.4,,,,,7.5,1.0
112,FILUSDT,1756911,116072940222.85391,54929533155.96384,8668844.92,10428644.35,70388777.27175,83897668.78209,83897668.78209,1296571,103330413317.70143,48899350300.394875,6287727.54,12343082.71,54531639.83933,109147462.54352,109147462.54352,168690.43,8.496,8.2,8.572,1433193.89328,678234.49056,1236637.0,2024-02-18,0,8132,13965878.9251,209645.78720000002,162602.616,2097421.2521565,632751.03234,407537.11065999995,0.7,0.8,0.8,49.1,1.3,0.5,38.0,209.6,162.6,0.3,0.4,5.0,3.9
135,SUSHIUSDT,811364,7466551262.542351,5132356513.515,3626412.3,5359790.9,4594157.1135,6676661.4825,6676661.4825,214765,4057926707.6752505,2789336848.7250004,12201046.1,13404153.1,19053862.467100002,21008406.208,21008406.208,120268.3,1.4085,1.275,1.543,169397.90055000002,116440.695,283363.0,2024-02-18,0,2441,2700216.3945999998,18120.0423,49045.8962,276967.89872,99640.80964000002,18525.67813,0.6,0.3,0.7,27.1,3.1,0.9,112.5,18.1,49.0,0.2,2.6,1.7,7.1
